(base) PS E:\log> python calc_cpi.py 256256256.log --ns-per-cycle 10 --sm 1 --warp 0
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
CSRRS                   9       1.33       1.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                   8730     268.19     220.00     1.00  1906.00
SETRPC              78358       1.94       2.00     1.00     5.00
VLW12_V            139264      13.84       1.00     1.00  1789.00
VLW_V                   1    3019.00    3019.00  3019.00  3019.00

(base) PS E:\log> python calc_cpi.py 256256256.log --ns-per-cycle 10 --sm 1 --warp 5
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2       9.00       9.00     7.00    11.00
ADDI                65570       2.53       2.00     1.00    11.00
AUIPC               78363       5.86       2.00     1.00   181.00
BEQ                     1       6.00       6.00     6.00     6.00
BGE                   273       9.30       9.00     3.00    17.00
CSRRS                   9       6.22       5.00     4.00    10.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                149112       5.94       1.00     0.00    20.00
JALR                   12       2.58       1.00     1.00    11.00
JOIN                12820       8.39       6.00     2.00    17.00
LUI                  8705       5.36       8.00     1.00    15.00
LW                   8730     264.85     209.00     1.00  2103.00
MUL                     3       8.33       8.00     8.00     9.00
SETRPC              78358       6.23       6.00     3.00    11.00
SW                     13      16.15       4.00     4.00   159.00
VADD12_VI           69904      10.69      13.00     1.00    20.00
VADD_VI             65536       3.58       3.00     1.00    16.00
VADD_VV             78355       5.38       5.00     2.00    19.00
VADD_VX             78086      20.69      11.00     1.00  2278.00
VAND_VV              8448      12.36      12.00     1.00    16.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV           65536      10.97      12.00     1.00    15.00
VID_V                   2       5.00       5.00     4.00     6.00
VLW12_V            139264      18.35       5.00     1.00  1831.00
VLW_V                   1      11.00      11.00    11.00    11.00
VMADD_VX             4096      11.15      11.00    11.00    14.00
VMSLT_VX            16896      11.92      10.50     1.00    30.00
VMUL_VX                32       6.75       6.50     3.00    12.00
VREMU_VX                2       8.50       8.50     8.00     9.00
VSETVLI                 1       6.00       6.00     6.00     6.00
VSLL_VI              8452       8.07       8.00     4.00    14.00
VSW12_V              8448       5.07       5.00     4.00     7.00
VSW_V                   1     103.00     103.00   103.00   103.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.56       2.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                   8730     273.05     217.00     1.00  2108.00
SETRPC              78358       1.83       2.00     1.00     5.00
VLW12_V            139264      15.33       1.00     1.00  1846.00
VLW_V                   1    2863.00    2863.00  2863.00  2863.00

(base) PS E:\log> python calc_cpi.py 256256256.log --ns-per-cycle 10 --sm 1 --warp 6
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2       6.50       6.50     6.00     7.00
ADDI                65570       2.54       2.00     1.00    10.00
AUIPC               78363       5.86       2.00     1.00   182.00
BEQ                     1       6.00       6.00     6.00     6.00
BGE                   273       9.30       9.00     4.00    18.00
CSRRS                   9       6.11       5.00     3.00    11.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                149112       5.94       1.00     0.00    20.00
JALR                   12       2.67       1.00     1.00    11.00
JOIN                12820       8.38       6.00     2.00    17.00
LUI                  8705       5.41       8.00     1.00    15.00
LW                   8730     266.09     209.00     2.00  2048.00
MUL                     3       8.67       8.00     8.00    10.00
SETRPC              78358       6.23       6.00     3.00    11.00
SW                     13      14.92       4.00     4.00   143.00
VADD12_VI           69904      10.67      13.00     1.00    20.00
VADD_VI             65536       3.59       3.00     1.00    16.00
VADD_VV             78355       5.38       5.00     2.00    19.00
VADD_VX             78086      20.44      11.00     1.00  2089.00
VAND_VV              8448      12.38      12.00     1.00    16.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV           65536      10.97      12.00     1.00    15.00
VID_V                   2       5.00       5.00     5.00     5.00
VLW12_V            139264      18.41       5.00     1.00  1817.00
VLW_V                   1       9.00       9.00     9.00     9.00
VMADD_VX             4096      11.15      11.00    11.00    13.00
VMSLT_VX            16896      11.89      10.50     1.00    30.00
VMUL_VX                32       6.47       6.50     3.00    12.00
VREMU_VX                2       8.50       8.50     8.00     9.00
VSETVLI                 1       5.00       5.00     5.00     5.00
VSLL_VI              8452       8.07       8.00     4.00    10.00
VSW12_V              8448       5.07       5.00     4.00     7.00
VSW_V                   1     112.00     112.00   112.00   112.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.56       2.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                   8730     274.32     217.00     1.00  2059.00
SETRPC              78358       1.83       2.00     1.00     5.00
VLW12_V            139264      15.39       1.00     1.00  1826.00
VLW_V                   1    2584.00    2584.00  2584.00  2584.00

(base) PS E:\log> python calc_cpi.py 256256256.log --ns-per-cycle 10 --sm 1 --warp 7
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2       6.50       6.50     6.00     7.00
ADDI                65570       2.58       2.00     1.00    40.00
AUIPC               78363       6.11       2.00     1.00   181.00
BEQ                     1       6.00       6.00     6.00     6.00
BGE                   273       9.29       9.00     4.00    17.00
CSRRS                   9      71.44       6.00     4.00   595.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                149112       5.98       1.00     0.00    20.00
JALR                   12       3.17       2.00     1.00    13.00
JOIN                12820       8.53       7.00     2.00    17.00
LUI                  8705       5.60       8.00     1.00    15.00
LW                   8730     252.40     209.00     4.00  1913.00
MUL                     3       9.00       9.00     8.00    10.00
SETRPC              78358       6.30       6.00     3.00    11.00
SW                     13       8.08       4.00     4.00    36.00
VADD12_VI           69904      10.42      13.00     1.00    20.00
VADD_VI             65536       3.71       3.00     1.00    16.00
VADD_VV             78355       5.40       5.00     2.00    19.00
VADD_VX             78086      21.43      10.00     8.00  2083.00
VAND_VV              8448      12.49      13.00     1.00    16.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV           65536      10.77      12.00     1.00    15.00
VID_V                   2       5.00       5.00     5.00     5.00
VLW12_V            139264      18.60       5.00     1.00  1862.00
VLW_V                   1     308.00     308.00   308.00   308.00
VMADD_VX             4096      11.21      11.00    11.00    13.00
VMSLT_VX            16896      11.71      10.50     1.00    30.00
VMUL_VX                32       6.12       6.50     4.00     9.00
VREMU_VX                2       5.00       5.00     2.00     8.00
VSETVLI                 1       5.00       5.00     5.00     5.00
VSLL_VI              8452       8.18       8.00     4.00    11.00
VSW12_V              8448       5.10       5.00     4.00     7.00
VSW_V                   1       9.00       9.00     9.00     9.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.44       1.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                   8730     260.60     217.00     1.00  1923.00
SETRPC              78358       1.91       2.00     1.00     5.00
VLW12_V            139264      15.61       2.00     1.00  1879.00
VLW_V                   1    3353.00    3353.00  3353.00  3353.00
