event_id,sm,warp,regext_time_ns,regext_pc,regext_op,regext_line,prev_time_ns,prev_pc,prev_op,prev_line,next_time_ns,next_pc,next_op,next_line,next_has_is_used
45,1,3,49275,0x80000120,REGEXT,"SM 1 warp 3 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @49275ns,1 [trace decode.cpp:72]",49265,0x800003c0,JALR,"SM 1 warp 3 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @49265ns,1 [trace regfile.cpp:87]",49285,0x80000124,VLW_V,"SM 1 warp 3 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @49285ns,1 [trace decode.cpp:157]",1
46,1,2,49505,0x80000120,REGEXT,"SM 1 warp 2 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @49505ns,1 [trace decode.cpp:72]",49495,0x800003c0,JALR,"SM 1 warp 2 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @49495ns,1 [trace regfile.cpp:87]",49515,0x80000124,VLW_V,"SM 1 warp 2 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @49515ns,1 [trace decode.cpp:157]",1
47,1,6,50105,0x8000010c,REGEXT,"SM 1 warp 6 0x8000010c            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @50105ns,1 [trace decode.cpp:72]",50095,0x800003c0,JALR,"SM 1 warp 6 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @50095ns,1 [trace regfile.cpp:87]",50115,0x80000110,VSW_V,"SM 1 warp 6 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @50115ns,1 [trace decode.cpp:157]",1
48,1,6,50155,0x80000120,REGEXT,"SM 1 warp 6 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @50155ns,1 [trace decode.cpp:72]",50115,0x80000110,VSW_V,"SM 1 warp 6 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @50115ns,1 [trace decode.cpp:157]",50165,0x80000124,VLW_V,"SM 1 warp 6 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @50165ns,1 [trace decode.cpp:157]",1
49,1,7,50505,0x80000120,REGEXT,"SM 1 warp 7 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @50505ns,1 [trace decode.cpp:72]",50495,0x800003c0,JALR,"SM 1 warp 7 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @50495ns,1 [trace regfile.cpp:87]",50515,0x80000124,VLW_V,"SM 1 warp 7 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @50515ns,1 [trace decode.cpp:157]",1
51,1,3,50795,0x800001b4,REGEXT,"SM 1 warp 3 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @50795ns,1 [trace decode.cpp:72]",50785,0x8000018c,VADD_VV,"SM 1 warp 3 0x8000018c           VADD_VV_0x02500357 mask=FFFFFFFF WB v[006]={00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005}; s1=0 s2=5 s3=6 @50785ns,1 [trace regfile.cpp:109]",50805,0x800001b8,VMV_V_X,"SM 1 warp 3 0x800001b8           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @50805ns,1 [trace decode.cpp:157]",1
53,1,2,51195,0x800001b4,REGEXT,"SM 1 warp 2 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @51195ns,1 [trace decode.cpp:72]",51195,0x8000018c,VADD_VV,"SM 1 warp 2 0x8000018c           VADD_VV_0x02500357 mask=FFFFFFFF WB v[006]={00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003}; s1=0 s2=5 s3=6 @51195ns,1 [trace regfile.cpp:109]",51205,0x800001b8,VMV_V_X,"SM 1 warp 2 0x800001b8           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @51205ns,1 [trace decode.cpp:157]",1
54,1,0,51525,0x8000010c,REGEXT,"SM 1 warp 0 0x8000010c            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @51525ns,1 [trace decode.cpp:72]",51515,0x800003c0,JALR,"SM 1 warp 0 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @51515ns,1 [trace regfile.cpp:87]",51535,0x80000110,VSW_V,"SM 1 warp 0 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @51535ns,1 [trace decode.cpp:157]",1
55,1,0,51575,0x80000120,REGEXT,"SM 1 warp 0 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @51575ns,1 [trace decode.cpp:72]",51535,0x80000110,VSW_V,"SM 1 warp 0 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @51535ns,1 [trace decode.cpp:157]",51585,0x80000124,VLW_V,"SM 1 warp 0 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @51585ns,1 [trace decode.cpp:157]",1
57,1,7,52825,0x800001b4,REGEXT,"SM 1 warp 7 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @52825ns,1 [trace decode.cpp:72]",52815,0x8000018c,VADD_VV,"SM 1 warp 7 0x8000018c           VADD_VV_0x02500357 mask=FFFFFFFF WB v[006]={0000000c 0000000c 0000000c 0000000c 0000000c 0000000c 0000000c 0000000c 0000000c 0000000c 0000000c 0000000c 0000000c 0000000c 0000000c 0000000c 0000000d 0000000d 0000000d 0000000d 0000000d 0000000d 0000000d 0000000d 0000000d 0000000d 0000000d 0000000d 0000000d 0000000d 0000000d 0000000d}; s1=0 s2=5 s3=6 @52815ns,1 [trace regfile.cpp:109]",52835,0x800001b8,VMV_V_X,"SM 1 warp 7 0x800001b8           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @52835ns,1 [trace decode.cpp:157]",1
58,1,4,53595,0x80000120,REGEXT,"SM 1 warp 4 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @53595ns,1 [trace decode.cpp:72]",53585,0x800003c0,JALR,"SM 1 warp 4 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @53585ns,1 [trace regfile.cpp:87]",53605,0x80000124,VLW_V,"SM 1 warp 4 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @53605ns,1 [trace decode.cpp:157]",1
59,1,5,53955,0x80000120,REGEXT,"SM 1 warp 5 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @53955ns,1 [trace decode.cpp:72]",53945,0x800003c0,JALR,"SM 1 warp 5 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @53945ns,1 [trace regfile.cpp:87]",53965,0x80000124,VLW_V,"SM 1 warp 5 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @53965ns,1 [trace decode.cpp:157]",1
61,1,4,55095,0x800001b4,REGEXT,"SM 1 warp 4 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @55095ns,1 [trace decode.cpp:72]",55085,0x8000018c,VADD_VV,"SM 1 warp 4 0x8000018c           VADD_VV_0x02500357 mask=FFFFFFFF WB v[006]={00000006 00000006 00000006 00000006 00000006 00000006 00000006 00000006 00000006 00000006 00000006 00000006 00000006 00000006 00000006 00000006 00000007 00000007 00000007 00000007 00000007 00000007 00000007 00000007 00000007 00000007 00000007 00000007 00000007 00000007 00000007 00000007}; s1=0 s2=5 s3=6 @55085ns,1 [trace regfile.cpp:109]",55105,0x800001b8,VMV_V_X,"SM 1 warp 4 0x800001b8           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @55105ns,1 [trace decode.cpp:157]",1
63,1,1,56055,0x80000120,REGEXT,"SM 1 warp 1 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @56055ns,1 [trace decode.cpp:72]",56045,0x800003c0,JALR,"SM 1 warp 1 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @56045ns,1 [trace regfile.cpp:87]",56065,0x80000124,VLW_V,"SM 1 warp 1 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @56065ns,1 [trace decode.cpp:157]",1
64,1,5,56135,0x800001b4,REGEXT,"SM 1 warp 5 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @56135ns,1 [trace decode.cpp:72]",56125,0x8000018c,VADD_VV,"SM 1 warp 5 0x8000018c           VADD_VV_0x02500357 mask=FFFFFFFF WB v[006]={00000008 00000008 00000008 00000008 00000008 00000008 00000008 00000008 00000008 00000008 00000008 00000008 00000008 00000008 00000008 00000008 00000009 00000009 00000009 00000009 00000009 00000009 00000009 00000009 00000009 00000009 00000009 00000009 00000009 00000009 00000009 00000009}; s1=0 s2=5 s3=6 @56125ns,1 [trace regfile.cpp:109]",56145,0x800001b8,VMV_V_X,"SM 1 warp 5 0x800001b8           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @56145ns,1 [trace decode.cpp:157]",1
65,1,6,57095,0x80000120,REGEXT,"SM 1 warp 6 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @57095ns,1 [trace decode.cpp:72]",57085,0x800003c0,JALR,"SM 1 warp 6 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @57085ns,1 [trace regfile.cpp:87]",57105,0x80000124,VLW_V,"SM 1 warp 6 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @57105ns,1 [trace decode.cpp:157]",1
67,1,1,57615,0x800001b4,REGEXT,"SM 1 warp 1 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @57615ns,1 [trace decode.cpp:72]",57615,0x8000018c,VADD_VV,"SM 1 warp 1 0x8000018c           VADD_VV_0x02500357 mask=FFFFFFFF WB v[006]={00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001}; s1=0 s2=5 s3=6 @57615ns,1 [trace regfile.cpp:109]",57625,0x800001b8,VMV_V_X,"SM 1 warp 1 0x800001b8           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @57625ns,1 [trace decode.cpp:157]",1
68,1,0,58165,0x80000120,REGEXT,"SM 1 warp 0 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @58165ns,1 [trace decode.cpp:72]",58155,0x800003c0,JALR,"SM 1 warp 0 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @58155ns,1 [trace regfile.cpp:87]",58175,0x80000124,VLW_V,"SM 1 warp 0 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @58175ns,1 [trace decode.cpp:157]",1
70,1,6,58585,0x800001b4,REGEXT,"SM 1 warp 6 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @58585ns,1 [trace decode.cpp:72]",58575,0x8000018c,VADD_VV,"SM 1 warp 6 0x8000018c           VADD_VV_0x02500357 mask=FFFFFFFF WB v[006]={0000000a 0000000a 0000000a 0000000a 0000000a 0000000a 0000000a 0000000a 0000000a 0000000a 0000000a 0000000a 0000000a 0000000a 0000000a 0000000a 0000000b 0000000b 0000000b 0000000b 0000000b 0000000b 0000000b 0000000b 0000000b 0000000b 0000000b 0000000b 0000000b 0000000b 0000000b 0000000b}; s1=0 s2=5 s3=6 @58575ns,1 [trace regfile.cpp:109]",58595,0x800001b8,VMV_V_X,"SM 1 warp 6 0x800001b8           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @58595ns,1 [trace decode.cpp:157]",1
72,1,0,59625,0x800001b4,REGEXT,"SM 1 warp 0 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @59625ns,1 [trace decode.cpp:72]",59615,0x8000018c,VADD_VV,"SM 1 warp 0 0x8000018c           VADD_VV_0x02500357 mask=FFFFFFFF WB v[006]={0000000e 0000000e 0000000e 0000000e 0000000e 0000000e 0000000e 0000000e 0000000e 0000000e 0000000e 0000000e 0000000e 0000000e 0000000e 0000000e 0000000f 0000000f 0000000f 0000000f 0000000f 0000000f 0000000f 0000000f 0000000f 0000000f 0000000f 0000000f 0000000f 0000000f 0000000f 0000000f}; s1=0 s2=5 s3=6 @59615ns,1 [trace regfile.cpp:109]",59635,0x800001b8,VMV_V_X,"SM 1 warp 0 0x800001b8           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @59635ns,1 [trace decode.cpp:157]",1
