event_id,sm,warp,regext_time_ns,regext_pc,regext_op,regext_line,prev_time_ns,prev_pc,prev_op,prev_line,next_time_ns,next_pc,next_op,next_line,next_has_is_used
184,1,4,271862225,0x800001b4,REGEXT,"SM 1 warp 4 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @271862225ns,1 [trace decode.cpp:72]",271862175,0x80000184,BGE,"SM 1 warp 4 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @271862175ns,1 [trace exec_salu.cpp:339]",271862265,0x80000188,JAL,"SM 1 warp 4 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @271862265ns,1 [trace exec_salu.cpp:108]",0
186,1,0,271862265,0x800001b4,REGEXT,"SM 1 warp 0 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @271862265ns,1 [trace decode.cpp:72]",271862215,0x80000184,BGE,"SM 1 warp 0 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @271862215ns,1 [trace exec_salu.cpp:339]",271862285,0x80000188,JAL,"SM 1 warp 0 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @271862285ns,1 [trace exec_salu.cpp:108]",0
193,1,4,298831215,0x800001b4,REGEXT,"SM 1 warp 4 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @298831215ns,1 [trace decode.cpp:72]",298831215,0x80000188,JAL,"SM 1 warp 4 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @298831215ns,1 [trace exec_salu.cpp:108]",298831225,0x80000188,JAL,"SM 1 warp 4 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @298831225ns,1 [trace regfile.cpp:87]",0
194,1,7,298831225,0x800001b4,REGEXT,"SM 1 warp 7 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @298831225ns,1 [trace decode.cpp:72]",298831225,0x80000188,JAL,"SM 1 warp 7 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @298831225ns,1 [trace exec_salu.cpp:108]",298831235,0x80000188,JAL,"SM 1 warp 7 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @298831235ns,1 [trace regfile.cpp:87]",0
196,1,5,298831205,0x800001b4,REGEXT,"SM 1 warp 5 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @298831205ns,1 [trace decode.cpp:72]",298831155,0x80000184,BGE,"SM 1 warp 5 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @298831155ns,1 [trace exec_salu.cpp:339]",298831245,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @298831245ns,1 [trace exec_salu.cpp:108]",0
198,1,1,298831245,0x800001b4,REGEXT,"SM 1 warp 1 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @298831245ns,1 [trace decode.cpp:72]",298831195,0x80000184,BGE,"SM 1 warp 1 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @298831195ns,1 [trace exec_salu.cpp:339]",298831265,0x80000188,JAL,"SM 1 warp 1 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @298831265ns,1 [trace exec_salu.cpp:108]",0
205,1,5,325518045,0x800001b4,REGEXT,"SM 1 warp 5 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @325518045ns,1 [trace decode.cpp:72]",325518045,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @325518045ns,1 [trace exec_salu.cpp:108]",325518055,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @325518055ns,1 [trace regfile.cpp:87]",0
206,1,0,325518055,0x800001b4,REGEXT,"SM 1 warp 0 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @325518055ns,1 [trace decode.cpp:72]",325518055,0x80000188,JAL,"SM 1 warp 0 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @325518055ns,1 [trace exec_salu.cpp:108]",325518065,0x80000188,JAL,"SM 1 warp 0 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @325518065ns,1 [trace regfile.cpp:87]",0
208,1,6,325518035,0x800001b4,REGEXT,"SM 1 warp 6 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @325518035ns,1 [trace decode.cpp:72]",325517985,0x80000184,BGE,"SM 1 warp 6 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @325517985ns,1 [trace exec_salu.cpp:339]",325518075,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @325518075ns,1 [trace exec_salu.cpp:108]",0
210,1,2,325518075,0x800001b4,REGEXT,"SM 1 warp 2 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @325518075ns,1 [trace decode.cpp:72]",325518025,0x80000184,BGE,"SM 1 warp 2 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @325518025ns,1 [trace exec_salu.cpp:339]",325518095,0x80000188,JAL,"SM 1 warp 2 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @325518095ns,1 [trace exec_salu.cpp:108]",0
