event_id,mode,sm,warp,regext_time_ns,regext_pc,regext_op,prev_time_ns,prev_pc,prev_op,next_time_ns,next_pc,next_op
292,mode1,1,4,649856495,0x800001b4,REGEXT,649856445,0x80000184,BGE,649856535,0x80000188,JAL
296,mode1,1,0,649856535,0x800001b4,REGEXT,649856485,0x80000184,BGE,649856555,0x80000188,JAL
294,mode2,1,6,649856515,0x800001b4,REGEXT,649856515,0x80000188,JAL,649856525,0x80000188,JAL
301,other,1,1,649856645,0x800001b4,REGEXT,649856635,0x8000018c,VADD,649856725,0x80000190,VMUL
298,other,1,2,649856545,0x800001b4,REGEXT,649856535,0x8000018c,VADD,649856615,0x80000190,VMUL
297,other,1,3,649856535,0x800001b4,REGEXT,649856525,0x8000018c,VADD,649856605,0x80000190,VMUL
295,other,1,7,649856515,0x800001b4,REGEXT,649856505,0x8000018c,VADD,649856585,0x80000190,VMUL
302,other,1,4,649856655,0x800001b4,REGEXT,649856645,0x8000018c,VADD,649878075,0x800002b0,VLW12
299,other,1,5,649856625,0x800001b4,REGEXT,649856615,0x8000018c,VADD,649874435,0x800002b8,VSW12
303,other,1,0,649856675,0x800001b4,REGEXT,649856665,0x8000018c,VADD,649878735,0x800002b0,VLW12
300,other,1,6,649856635,0x800001b4,REGEXT,649856625,0x8000018c,VADD,649877585,0x800002b8,VSW12
305,mode2,1,5,678125025,0x800001b4,REGEXT,678125025,0x80000188,JAL,678125035,0x80000188,JAL
308,mode1,1,6,678125055,0x800001b4,REGEXT,678125005,0x80000184,BGE,678125075,0x80000188,JAL
304,mode1,1,2,678125015,0x800001b4,REGEXT,678124965,0x80000184,BGE,678125055,0x80000188,JAL
306,mode2,1,4,678125035,0x800001b4,REGEXT,678125035,0x80000188,JAL,678125045,0x80000188,JAL
309,other,1,3,678125055,0x800001b4,REGEXT,678125045,0x8000018c,VADD,678125125,0x80000190,VMUL
307,other,1,7,678125035,0x800001b4,REGEXT,678125025,0x8000018c,VADD,678125105,0x80000190,VMUL
310,other,1,0,678125065,0x800001b4,REGEXT,678125055,0x8000018c,VADD,678125135,0x80000190,VMUL
313,other,1,1,678125165,0x800001b4,REGEXT,678125155,0x8000018c,VADD,678125245,0x80000190,VMUL
312,other,1,4,678125155,0x800001b4,REGEXT,678125145,0x8000018c,VADD,678157355,0x800002b8,VSW12
315,other,1,6,678125195,0x800001b4,REGEXT,678125185,0x8000018c,VADD,678157815,0x800002b0,VLW12
311,other,1,5,678125145,0x800001b4,REGEXT,678125135,0x8000018c,VADD,678155645,0x800002b8,VSW12
314,other,1,2,678125175,0x800001b4,REGEXT,678125165,0x8000018c,VADD,678159465,0x800002b0,VLW12
317,mode2,1,5,705040875,0x800001b4,REGEXT,705040875,0x80000188,JAL,705040885,0x80000188,JAL
316,mode1,1,4,705040865,0x800001b4,REGEXT,705040815,0x80000184,BGE,705040905,0x80000188,JAL
321,mode1,1,0,705040905,0x800001b4,REGEXT,705040855,0x80000184,BGE,705040925,0x80000188,JAL
319,mode2,1,6,705040885,0x800001b4,REGEXT,705040885,0x80000188,JAL,705040895,0x80000188,JAL
325,other,1,1,705041015,0x800001b4,REGEXT,705041005,0x8000018c,VADD,705041095,0x80000190,VMUL
322,other,1,2,705040915,0x800001b4,REGEXT,705040905,0x8000018c,VADD,705040985,0x80000190,VMUL
320,other,1,3,705040905,0x800001b4,REGEXT,705040895,0x8000018c,VADD,705040975,0x80000190,VMUL
