SM,warp,instr,count
1,4,VADD12,558112
1,4,ADDI,524322
1,4,VFMADD,524288
1,4,LW,135220
1,4,VMSLT,133120
1,4,JOIN,100388
1,4,VBLT,67650
1,4,LUI,67585
1,4,VSLL,66564
1,4,VAND,66560
1,4,VSW12,66560
1,4,VMADD,32768
1,4,BARRIER,14283
1,4,VBNE,2050
1,4,BGE,1057
1,4,VMUL,64
1,4,REGEXT,62
1,4,CSRRS,18
1,4,SW,13
1,4,JALR,12
1,4,VLW,5
1,4,MUL,3
1,4,VSW,3
1,4,ADD,2
1,4,CSRRW,2
1,4,VID,2
1,4,VREMU,2
1,4,VSETVLI,1
1,4,BEQ,1
1,4,VDIVU,1
1,4,ENDPRG,1
1,5,VLW12,2228224
1,5,VADD,1772585
1,5,SETRPC,1249356
1,5,JAL,1186008
1,5,VBEQ,1179656
1,5,VMV,726128
1,5,AUIPC,624684
1,5,JUMP,593011
1,5,VADD12,558112
1,5,ADDI,524322
1,5,VFMADD,524288
1,5,LW,135220
1,5,VMSLT,133120
1,5,JOIN,100388
1,5,VBLT,67650
1,5,LUI,67585
1,5,VSLL,66564
1,5,VAND,66560
1,5,VSW12,66560
1,5,VMADD,32768
1,5,BARRIER,7669
1,5,VBNE,2050
1,5,BGE,1057
1,5,REGEXT,70
1,5,VMUL,64
1,5,CSRRS,18
1,5,SW,13
1,5,JALR,12
1,5,VLW,5
1,5,MUL,3
1,5,VSW,3
1,5,ADD,2
1,5,CSRRW,2
1,5,VID,2
1,5,VREMU,2
1,5,VSETVLI,1
1,5,BEQ,1
1,5,VDIVU,1
1,5,ENDPRG,1
1,6,VLW12,2228224
1,6,VADD,1772585
1,6,SETRPC,1249356
1,6,JAL,1186008
1,6,VBEQ,1179656
1,6,VMV,726128
1,6,AUIPC,624684
1,6,JUMP,593011
1,6,VADD12,558112
1,6,ADDI,524322
1,6,VFMADD,524288
1,6,LW,135220
1,6,VMSLT,133120
1,6,JOIN,100388
1,6,VBLT,67650
1,6,LUI,67585
1,6,VSLL,66564
1,6,VAND,66560
1,6,VSW12,66560
1,6,VMADD,32768
1,6,BARRIER,7512
1,6,VBNE,2050
1,6,BGE,1057
1,6,REGEXT,68
1,6,VMUL,64
1,6,CSRRS,18
1,6,SW,13
1,6,JALR,12
1,6,VLW,5
1,6,MUL,3
1,6,VSW,3
1,6,ADD,2
1,6,CSRRW,2
1,6,VID,2
1,6,VREMU,2
1,6,VSETVLI,1
1,6,BEQ,1
1,6,VDIVU,1
1,6,ENDPRG,1
1,7,VLW12,2228224
1,7,VADD,1772585
1,7,SETRPC,1249356
1,7,JAL,1186008
1,7,VBEQ,1179656
1,7,VMV,726128
1,7,AUIPC,624684
1,7,JUMP,593011
1,7,VADD12,558112
1,7,ADDI,524322
1,7,VFMADD,524288
1,7,LW,135220
1,7,VMSLT,133120
1,7,JOIN,100388
1,7,VBLT,67650
1,7,LUI,67585
1,7,VSLL,66564
1,7,VAND,66560
1,7,VSW12,66560
1,7,VMADD,32768
1,7,BARRIER,6026
1,7,VBNE,2050
1,7,BGE,1057
1,7,VMUL,64
1,7,REGEXT,50
1,7,CSRRS,18
1,7,SW,13
1,7,JALR,12
1,7,VLW,5
1,7,MUL,3
1,7,VSW,3
1,7,ADD,2
1,7,CSRRW,2
1,7,VID,2
1,7,VREMU,2
1,7,VSETVLI,1
1,7,BEQ,1
1,7,VDIVU,1
1,7,ENDPRG,1
