SM,warp,instr,count
1,1,REGEXT,46
1,1,CSRRS,44
1,1,JALR,40
1,1,VLW,32
1,1,VMUL,32
1,1,SW,30
1,1,VSW,24
1,1,VBNE,8
1,1,MUL,6
1,1,ADD,4
1,1,CSRRW,4
1,1,VID,4
1,1,VREMU,4
1,1,VSETVLI,2
1,1,BEQ,2
1,1,VDIVU,2
1,1,ENDPRG,2
1,2,VLW12,1114112
1,2,VADD,869974
1,2,SETRPC,558256
1,2,JAL,527644
1,2,VBEQ,524320
1,2,VMV,297078
1,2,AUIPC,279140
1,2,VADD12,279072
1,2,JUMP,263844
1,2,ADDI,262230
1,2,VFMADD,262144
1,2,VBLT,33860
1,2,VSLL,33292
1,2,VSW12,33280
1,2,JOIN,16940
1,2,VMADD,16416
1,2,BARRIER,4432
1,2,LW,2160
1,2,LUI,1026
1,2,BGE,512
1,2,VBGE,68
1,2,REGEXT,46
1,2,CSRRS,44
1,2,JALR,40
1,2,VLW,32
1,2,VMUL,32
1,2,SW,30
1,2,VSW,24
1,2,VBNE,8
1,2,MUL,6
1,2,ADD,4
1,2,CSRRW,4
1,2,VID,4
1,2,VREMU,4
1,2,VSETVLI,2
1,2,BEQ,2
1,2,VDIVU,2
1,2,ENDPRG,2
1,3,VLW12,1114112
1,3,VADD,869974
1,3,SETRPC,558256
1,3,JAL,527644
1,3,VBEQ,524320
1,3,VMV,297078
1,3,AUIPC,279140
1,3,VADD12,279072
1,3,JUMP,263844
1,3,ADDI,262230
1,3,VFMADD,262144
1,3,VBLT,33860
1,3,VSLL,33292
1,3,VSW12,33280
1,3,JOIN,16940
1,3,VMADD,16416
1,3,BARRIER,4315
1,3,LW,2160
1,3,LUI,1026
1,3,BGE,512
1,3,VBGE,68
1,3,REGEXT,46
1,3,CSRRS,44
1,3,JALR,40
1,3,VLW,32
1,3,VMUL,32
1,3,SW,30
1,3,VSW,24
1,3,VBNE,8
1,3,MUL,6
1,3,ADD,4
1,3,CSRRW,4
1,3,VID,4
1,3,VREMU,4
1,3,VSETVLI,2
1,3,BEQ,2
1,3,VDIVU,2
1,3,ENDPRG,2
1,4,VLW12,1114112
1,4,VADD,869974
1,4,SETRPC,558256
1,4,JAL,527644
1,4,VBEQ,524320
1,4,VMV,297078
1,4,AUIPC,279140
1,4,VADD12,279072
1,4,JUMP,263844
1,4,ADDI,262230
1,4,VFMADD,262144
1,4,VBLT,33860
1,4,VSLL,33292
1,4,VSW12,33280
1,4,JOIN,16940
1,4,VMADD,16416
1,4,BARRIER,3756
1,4,LW,2160
1,4,LUI,1026
1,4,BGE,512
1,4,VBGE,68
1,4,REGEXT,46
1,4,CSRRS,44
1,4,JALR,40
1,4,VLW,32
1,4,VMUL,32
1,4,SW,30
1,4,VSW,24
1,4,VBNE,8
1,4,MUL,6
1,4,ADD,4
1,4,CSRRW,4
1,4,VID,4
1,4,VREMU,4
1,4,VSETVLI,2
1,4,BEQ,2
1,4,VDIVU,2
1,4,ENDPRG,2
1,5,VLW12,1114112
1,5,VADD,869974
1,5,SETRPC,558256
1,5,JAL,527644
1,5,VBEQ,524320
1,5,VMV,297078
1,5,AUIPC,279140
1,5,VADD12,279072
1,5,JUMP,263844
1,5,ADDI,262230
1,5,VFMADD,262144
1,5,VBLT,33860
1,5,VSLL,33292
1,5,VSW12,33280
1,5,JOIN,16940
1,5,VMADD,16416
1,5,BARRIER,4047
1,5,LW,2160
1,5,LUI,1026
1,5,BGE,512
1,5,VBGE,68
1,5,REGEXT,46
1,5,CSRRS,44
1,5,JALR,40
1,5,VLW,32
1,5,VMUL,32
1,5,SW,30
1,5,VSW,24
1,5,VBNE,8
1,5,MUL,6
1,5,ADD,4
1,5,CSRRW,4
1,5,VID,4
1,5,VREMU,4
1,5,VSETVLI,2
1,5,BEQ,2
1,5,VDIVU,2
1,5,ENDPRG,2
1,6,VLW12,1114112
1,6,VADD,869974
1,6,SETRPC,558256
1,6,JAL,527644
1,6,VBEQ,524320
1,6,VMV,297078
1,6,AUIPC,279140
1,6,VADD12,279072
1,6,JUMP,263844
1,6,ADDI,262230
1,6,VFMADD,262144
1,6,VBLT,33860
1,6,VSLL,33292
1,6,VSW12,33280
1,6,JOIN,16940
1,6,VMADD,16416
1,6,BARRIER,3974
1,6,LW,2160
1,6,LUI,1026
1,6,BGE,512
1,6,VBGE,68
1,6,REGEXT,46
1,6,CSRRS,44
1,6,JALR,40
1,6,VLW,32
1,6,VMUL,32
1,6,SW,30
1,6,VSW,24
1,6,VBNE,8
1,6,MUL,6
1,6,ADD,4
1,6,CSRRW,4
1,6,VID,4
1,6,VREMU,4
1,6,VSETVLI,2
1,6,BEQ,2
1,6,VDIVU,2
1,6,ENDPRG,2
1,7,VLW12,1114112
1,7,VADD,869974
1,7,SETRPC,558256
1,7,JAL,527644
1,7,VBEQ,524320
1,7,VMV,297078
1,7,AUIPC,279140
1,7,VADD12,279072
1,7,JUMP,263844
1,7,ADDI,262230
1,7,VFMADD,262144
1,7,VBLT,33860
1,7,VSLL,33292
1,7,VSW12,33280
1,7,JOIN,16940
1,7,VMADD,16416
1,7,BARRIER,3866
1,7,LW,2160
1,7,LUI,1026
1,7,BGE,512
1,7,VBGE,68
1,7,REGEXT,46
1,7,CSRRS,44
1,7,JALR,40
1,7,VLW,32
1,7,VMUL,32
1,7,SW,30
1,7,VSW,24
1,7,VBNE,8
1,7,MUL,6
1,7,ADD,4
1,7,CSRRW,4
1,7,VID,4
1,7,VREMU,4
1,7,VSETVLI,2
1,7,BEQ,2
1,7,VDIVU,2
1,7,ENDPRG,2
