sm,opcode,category,exec_A,exec_B,delta_exec,stall_sum_A_ns,stall_sum_B_ns,delta_stall_sum_ns
1,VADD12_VI_0x0106060b,compute,262144,0,-262144,13428000,0,-13428000
1,LUI,addr,540680,8208,-532472,15700430,395100,-15305330
1,VMSLT_VX_0x6e6546d7,compute,270336,0,-270336,17367650,0,-17367650
1,VBLT,control,541200,270880,-270320,32752420,14794160,-17958260
1,VLW12_V_0x0006a77b,mem,524288,0,-524288,19060060,0,-19060060
1,VMV_V_X_0x5e0046d7,compute,262144,0,-262144,19686300,0,-19686300
1,VLW12_V_0x0006a6fb,mem,524288,0,-524288,20181240,0,-20181240
1,VADD_VV_0x02e386d7,compute,262144,0,-262144,21073650,0,-21073650
1,VADD_VV_0x02c006d7,compute,262144,0,-262144,21074650,0,-21074650
1,VMADD_VX_0xa6a4e6d7,compute,262144,0,-262144,21309100,0,-21309100
1,VSW12_V_0x00d0e07b,mem,262144,0,-262144,23485750,0,-23485750
1,VADD_VV_0x02c88757,compute,262144,0,-262144,24146240,0,-24146240
1,VMV_V_X_0x5e0047d7,compute,524288,0,-524288,28754940,0,-28754940
1,VADD_VV_0x02988557,compute,8192,0,-8192,34216990,0,-34216990
1,VSLL_VI_0x96d136d7,mem,524288,0,-524288,45259310,0,-45259310
1,VMV_V_X_0x5e03c6d7,compute,262144,0,-262144,71061320,0,-71061320
1,VADD12_VI_0x0407070b,compute,4194304,0,-4194304,84827500,0,-84827500
1,AUIPC,addr,4997472,2233120,-2764352,180418480,92940240,-87478240
1,LW,mem,1081760,17280,-1064480,115859370,2340120,-113519250
1,VFMADD_VV_0xa2f815d7,compute,4194304,0,-4194304,114814080,0,-114814080
1,VADD_VI_0x02d236d7,compute,4194304,0,-4194304,115564750,0,-115564750
1,VBEQ,control,9437248,4194560,-5242688,230067320,106666010,-123401310
1,JUMP,control,4744088,2110752,-2633336,258024670,115346440,-142678230
1,JAL,control,9488064,4221152,-5266912,307360150,136355770,-171004380
1,ADDI,addr,4194576,2097840,-2096736,353817290,177213880,-176603410
1,VMV_V_X_0x5e02c7d7,compute,4194304,0,-4194304,186244540,0,-186244540
1,VLW12_V_0x0005a5fb,mem,8388608,0,-8388608,187514200,0,-187514200
1,VADD_VV_0x024685d7,compute,4194304,0,-4194304,190783520,0,-190783520
1,VADD_VX_0x02b047d7,compute,4194304,0,-4194304,197183060,0,-197183060
1,SETRPC,other,9994848,4466048,-5528800,433034880,193089230,-239945650
1,VMSLT_VX_0x6ea4c757,compute,270336,0,-270336,479529250,0,-479529250
1,JOIN,other,803104,135520,-667584,499634350,12908570,-486725780
1,VSW12_V_0x00e1607b,mem,262144,0,-262144,561208330,0,-561208330
1,VLW12_V_0x0007287b,mem,8388608,0,-8388608,580394300,0,-580394300
1,VAND_VV_0x27070857,other,262144,0,-262144,651628160,0,-651628160
1,VAND_VV_0x26d80857,other,262144,0,-262144,719228340,0,-719228340
