pc,count,share,mnemonic,mnemonic_set,enc_set,class,sample_line
0x800000c0,8,0.00000009,ADDI,ADDI,0x01040413,OTHER,"SM 1 warp 3 0x800000c0              ADDI_0x01040413 WB x[008]=0x70002800 @10415ns,1 [trace regfile.cpp:87]"
0x800000c4,8,0.00000009,ADDI,ADDI,0x00420213,OTHER,"SM 1 warp 3 0x800000c4              ADDI_0x00420213 WB x[004]=0x00000004 @10455ns,1 [trace regfile.cpp:87]"
0x800000c8,16,0.00000018,REGEXT,REGEXT,0x0010200b,OTHER,"SM 1 warp 3 0x800000c8            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @10185ns,1 [trace decode.cpp:72]"
0x800000cc,16,0.00000018,VMV_V_X,VMV_V_X,0x5e024057,OTHER,"SM 1 warp 3 0x800000cc           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @10295ns,1 [trace decode.cpp:157]"
0x800000d0,8,0.00000009,SW,SW,0xfe112223,LSU,"SM 1 warp 3 0x800000d0                SW_0xfe112223 mask=FFFFFFFF ADDR 70000800, DATA 800000a0 @13215ns,1 [trace exec_lsu.cpp:183]"
0x800000d4,16,0.00000018,LW,LW,0x01452283,LSU,"SM 1 warp 2 0x800000d4                LW_0x01452283 mask=FFFFFFFF MEMADDR 90300014 @13235ns,1 [trace exec_lsu.cpp:189]"
0x800000d8,8,0.00000009,SW,SW,0xfe512e23,LSU,"SM 1 warp 2 0x800000d8                SW_0xfe512e23 mask=FFFFFFFF ADDR 70000418, DATA 200 @14575ns,1 [trace exec_lsu.cpp:183]"
0x800000dc,16,0.00000018,LW,LW,0x01052283,LSU,"SM 1 warp 2 0x800000dc                LW_0x01052283 mask=FFFFFFFF MEMADDR 90300010 @14615ns,1 [trace exec_lsu.cpp:189]"
0x800000e0,8,0.00000009,SW,SW,0xfe512c23,LSU,"SM 1 warp 2 0x800000e0                SW_0xfe512c23 mask=FFFFFFFF ADDR 70000414, DATA 200 @16615ns,1 [trace exec_lsu.cpp:183]"
0x800000e4,16,0.00000018,LW,LW,0x00c52283,LSU,"SM 1 warp 2 0x800000e4                LW_0x00c52283 mask=FFFFFFFF MEMADDR 9030000c @16655ns,1 [trace exec_lsu.cpp:189]"
0x800000e8,8,0.00000009,SW,SW,0xfe512a23,LSU,"SM 1 warp 2 0x800000e8                SW_0xfe512a23 mask=FFFFFFFF ADDR 70000410, DATA 200 @20155ns,1 [trace exec_lsu.cpp:183]"
0x800000ec,16,0.00000018,LW,LW,0x00852283,LSU,"SM 1 warp 2 0x800000ec                LW_0x00852283 mask=FFFFFFFF MEMADDR 90300008 @20195ns,1 [trace exec_lsu.cpp:189]"
0x800000f0,8,0.00000009,SW,SW,0xfe512823,LSU,"SM 1 warp 2 0x800000f0                SW_0xfe512823 mask=FFFFFFFF ADDR 7000040c, DATA 90200000 @23695ns,1 [trace exec_lsu.cpp:183]"
0x800000f4,16,0.00000018,LW,LW,0x00452283,LSU,"SM 1 warp 2 0x800000f4                LW_0x00452283 mask=FFFFFFFF MEMADDR 90300004 @23735ns,1 [trace exec_lsu.cpp:189]"
0x800000f8,8,0.00000009,SW,SW,0xfe512623,LSU,"SM 1 warp 2 0x800000f8                SW_0xfe512623 mask=FFFFFFFF ADDR 70000408, DATA 90100000 @27235ns,1 [trace exec_lsu.cpp:183]"
0x800000fc,16,0.00000018,LW,LW,0x00052283,LSU,"SM 1 warp 2 0x800000fc                LW_0x00052283 mask=FFFFFFFF MEMADDR 90300000 @27275ns,1 [trace exec_lsu.cpp:189]"
0x80000100,8,0.00000009,SW,SW,0xfe512423,LSU,"SM 1 warp 2 0x80000100                SW_0xfe512423 mask=FFFFFFFF ADDR 70000404, DATA 90000000 @30775ns,1 [trace exec_lsu.cpp:183]"
0x80000104,8,0.00000009,VMV_V_X,VMV_V_X,0x5e004057,OTHER,"SM 1 warp 2 0x80000104           VMV_V_X_0x5e004057 mask=FFFFFFFF WB v[000]={00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000}; s1=0 s2=0 s3=0 @30865ns,1 [trace regfile.cpp:109]"
0x80000108,16,0.00000018,JAL,JAL,0x244000ef,CTRL,"SM 1 warp 2 0x80000108               JAL_0x244000ef JUMP=true, jumpTO 0x8000034c @30845ns,1 [trace exec_salu.cpp:108]"
0x8000010c,16,0.00000018,REGEXT,REGEXT,0x0080200b,OTHER,"SM 1 warp 2 0x8000010c            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @16585ns,1 [trace decode.cpp:72]"
0x80000110,24,0.00000027,VSW_V,VSW_V,0xfe002e2b,VLSU,"SM 1 warp 2 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @16625ns,1 [trace decode.cpp:157]"
0x80000114,8,0.00000009,ADDI,ADDI,0x00100293,OTHER,"SM 1 warp 2 0x80000114              ADDI_0x00100293 WB x[005]=0x00000001 @34825ns,1 [trace regfile.cpp:87]"
0x80000118,8,0.00000009,VMV_V_X,VMV_V_X,0x5e02c057,OTHER,"SM 1 warp 2 0x80000118           VMV_V_X_0x5e02c057 mask=FFFFFFFF WB v[000]={00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001}; s1=5 s2=0 s3=0 @34905ns,1 [trace regfile.cpp:109]"
0x8000011c,16,0.00000018,JAL,JAL,0x230000ef,CTRL,"SM 1 warp 2 0x8000011c               JAL_0x230000ef JUMP=true, jumpTO 0x8000034c @34905ns,1 [trace exec_salu.cpp:108]"
0x80000120,24,0.00000027,REGEXT,REGEXT,0x0080200b,OTHER,"SM 1 warp 2 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @23665ns,1 [trace decode.cpp:72]"
0x80000124,40,0.00000044,VLW_V,VLW_V,0x7fc028ab,VLSU,"SM 1 warp 2 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @23705ns,1 [trace decode.cpp:157]"
0x80000128,16,0.00000018,LW,LW,0xfe812683,LSU,"SM 1 warp 3 0x80000128                LW_0xfe812683 mask=FFFFFFFF MEMADDR 70000804 @49375ns,1 [trace exec_lsu.cpp:189]"
