pc,exec_count,stall_count,stall_sum_gap_ns,stall_mean_ns,stall_max_ns
0x80000134,16,16,310,19.375,40
0x80000448,16,16,300,18.75,60
0x8000015c,8,8,300,37.5,60
0x80000108,16,16,290,18.125,90
0x800003f0,16,16,280,17.5,50
0x80000118,8,8,270,33.75,70
0x8000016c,8,8,270,33.75,40
0x800003c0,32,32,240,7.5,10
0x8000039c,16,16,230,14.375,50
0x80000150,8,8,230,28.75,50
0x80000428,8,8,210,26.25,50
0x800001a0,16,16,210,13.125,40
0x80000424,8,8,190,23.75,30
0x80000030,8,8,180,22.5,30
0x8000007c,8,8,180,22.5,40
0x80000018,8,8,160,20.0,20
0x8000038c,8,8,160,20.0,30
0x80000160,8,8,160,20.0,20
0x80000054,8,8,80,10.0,10
0x80000098,16,16,80,5.0,10
0x800000e0,8,8,80,10.0,10
0x800000f0,8,8,80,10.0,10
0x80000180,8,8,80,10.0,10
0x800000a0,16,8,40,5.0,40
