warp,inst_type,count
4,VADD12_VI,558112
4,ENDPRG,1
5,AUIPC,624684
5,ADDI,524322
5,VSETVLI,1
5,LUI,67585
5,CSRRS,18
5,MUL,3
5,ADD,2
5,BEQ,1
5,LW,135220
5,SW,13
5,CSRRW,2
5,REGEXT,70
5,JALR,12
5,VMV_V_X,726128
5,VSW_V,3
5,VLW_V,5
5,JAL,1186008
5,VADD_VX,623622
5,SETRPC,1249356
5,VBEQ,1179656
5,VBNE,2050
5,VID_V,2
5,VREMU_VX,2
5,JOIN,100388
5,VDIVU_VX,1
5,VBLT,67650
5,BGE,1057
5,VSLL_VI,66564
5,VADD_VV,624675
5,VMUL_VX,64
5,VMSLT_VX,133120
5,VAND_VV,66560
5,VLW12_V,2228224
5,VSW12_V,66560
5,VMADD_VX,32768
5,VFMADD_VV,524288
5,VADD_VI,524288
5,VADD12_VI,558112
5,ENDPRG,1
6,AUIPC,624684
6,ADDI,524322
6,VSETVLI,1
6,LUI,67585
6,CSRRS,18
6,MUL,3
6,ADD,2
6,BEQ,1
6,LW,135220
6,SW,13
6,CSRRW,2
6,REGEXT,68
6,JALR,12
6,VMV_V_X,726128
6,VSW_V,3
6,VLW_V,5
6,JAL,1186008
6,VADD_VX,623622
6,SETRPC,1249356
6,VBEQ,1179656
6,VBNE,2050
6,VID_V,2
6,VREMU_VX,2
6,JOIN,100388
6,VDIVU_VX,1
6,VBLT,67650
6,BGE,1057
6,VSLL_VI,66564
6,VADD_VV,624675
6,VMUL_VX,64
6,VMSLT_VX,133120
6,VAND_VV,66560
6,VLW12_V,2228224
6,VSW12_V,66560
6,VMADD_VX,32768
6,VFMADD_VV,524288
6,VADD_VI,524288
6,VADD12_VI,558112
6,ENDPRG,1
7,AUIPC,624684
7,ADDI,524322
7,VSETVLI,1
7,LUI,67585
7,CSRRS,18
7,MUL,3
7,ADD,2
7,BEQ,1
7,LW,135220
7,SW,13
7,CSRRW,2
7,REGEXT,50
7,JALR,12
7,VMV_V_X,726128
7,VSW_V,3
7,VLW_V,5
7,JAL,1186008
7,VADD_VX,623622
7,SETRPC,1249356
7,VBEQ,1179656
7,VBNE,2050
7,VID_V,2
7,VREMU_VX,2
7,JOIN,100388
7,VDIVU_VX,1
7,VBLT,67650
7,BGE,1057
7,VSLL_VI,66564
7,VADD_VV,624675
7,VMUL_VX,64
7,VMSLT_VX,133120
7,VAND_VV,66560
7,VLW12_V,2228224
7,VSW12_V,66560
7,VMADD_VX,32768
7,VFMADD_VV,524288
7,VADD_VI,524288
7,VADD12_VI,558112
7,ENDPRG,1
