warp,inst_type,count,warp_total,warp_ratio,global_ratio,preference
1,VBNE,2050,11313061,0.00018120648337350962,0.00018120631519035304,1.0000009281307685
1,VID_V,2,11313061,1.7678681304732645e-07,1.767866489661981e-07,1.0000009281307685
1,VREMU_VX,2,11313061,1.7678681304732645e-07,1.767866489661981e-07,1.0000009281307685
1,JOIN,100388,11313061,0.008873637294097503,0.008873629058209346,1.0000009281307685
1,VDIVU_VX,1,11313061,8.839340652366322e-08,8.839332448309905e-08,1.0000009281307685
1,VBLT,67650,11313061,0.005979813951325817,0.00597980840128165,1.0000009281307685
1,BGE,1057,11313061,9.343183069551203e-05,9.343174397863569e-05,1.0000009281307685
1,VADD_VV,624675,11313061,0.055217151220169326,0.055217099971479895,1.0000009281307685
1,VMUL_VX,64,11313061,5.657178017514446e-06,5.657172766918339e-06,1.0000009281307685
1,VLW12_V,2228224,11313061,0.19696030985778296,0.19696012705302887,1.0000009281307685
1,VMADD_VX,32768,11313061,0.0028964751449673965,0.0028964724566621896,1.0000009281307685
1,VFMADD_VV,524288,11313061,0.046343602319478344,0.046343559306595034,1.0000009281307685
1,VADD_VI,524288,11313061,0.046343602319478344,0.046343559306595034,1.0000009281307685
1,VADD12_VI,558112,11313061,0.04933342090173473,0.04933337511391137,1.0000009281307685
1,ENDPRG,1,11313061,8.839340652366322e-08,8.839332448309905e-08,1.0000009281307685
3,LW,135220,11313064,0.011952553260549044,0.011952545336604652,1.0000006629503733
3,SW,13,11313064,1.1491139800853244e-06,1.1491132182802875e-06,1.0000006629503733
3,VLW_V,5,11313064,4.4196691541743246e-07,4.419666224154952e-07,1.0000006629503733
3,SETRPC,1249356,11313064,0.11043480351565235,0.11043473030290668,1.0000006629503733
3,JOIN,100388,11313064,0.008873634940985042,0.008873629058209346,1.0000006629503733
3,VBLT,67650,11313064,0.005979812365597861,0.00597980840128165,1.0000006629503733
3,VSLL_VI,66564,11313064,0.005883817151569195,0.005883813250893004,1.0000006629503733
3,VMSLT_VX,133120,11313064,0.011766927156073722,0.011766919355190144,1.0000006629503733
3,VAND_VV,66560,11313064,0.005883463578036861,0.005883459677595072,1.0000006629503733
3,VLW12_V,2228224,11313064,0.1969602576278186,0.19696012705302887,1.0000006629503733
3,VSW12_V,66560,11313064,0.005883463578036861,0.005883459677595072,1.0000006629503733
3,AUIPC,624684,11313064,0.055217932118124674,0.055217895511400245,1.000000662950373
3,ADDI,524322,11313064,0.046346595405099805,0.04634656467962746,1.000000662950373
3,VSETVLI,1,11313064,8.83933830834865e-08,8.839332448309905e-08,1.000000662950373
3,LUI,67585,11313064,0.005974066795697434,0.005974062835190249,1.000000662950373
3,CSRRS,18,11313064,1.5910808955027568e-06,1.5910798406957828e-06,1.000000662950373
3,MUL,3,11313064,2.6518014925045944e-07,2.6517997344929714e-07,1.000000662950373
3,ADD,2,11313064,1.76786766166973e-07,1.767866489661981e-07,1.000000662950373
3,BEQ,1,11313064,8.83933830834865e-08,8.839332448309905e-08,1.000000662950373
3,CSRRW,2,11313064,1.76786766166973e-07,1.767866489661981e-07,1.000000662950373
3,JALR,12,11313064,1.0607205970018378e-06,1.0607198937971886e-06,1.000000662950373
3,VMV_V_X,726128,11313064,0.06418491047164587,0.06418486792026375,1.000000662950373
3,VSW_V,3,11313064,2.6518014925045944e-07,2.6517997344929714e-07,1.000000662950373
3,JAL,1186008,11313064,0.10483525948407965,0.10483518998355133,1.000000662950373
3,VADD_VX,623622,11313064,0.05512405834529001,0.05512402180079919,1.000000662950373
3,VBEQ,1179656,11313064,0.10427378471473334,0.10427371558643468,1.000000662950373
3,VBNE,2050,11313064,0.0001812064353211473,0.00018120631519035304,1.000000662950373
3,VID_V,2,11313064,1.76786766166973e-07,1.767866489661981e-07,1.000000662950373
3,VREMU_VX,2,11313064,1.76786766166973e-07,1.767866489661981e-07,1.000000662950373
3,VDIVU_VX,1,11313064,8.83933830834865e-08,8.839332448309905e-08,1.000000662950373
3,BGE,1057,11313064,9.343180591924522e-05,9.343174397863569e-05,1.000000662950373
3,VADD_VV,624675,11313064,0.05521713657767692,0.055217099971479895,1.000000662950373
3,VMUL_VX,64,11313064,5.657176517343136e-06,5.657172766918339e-06,1.000000662950373
3,VMADD_VX,32768,11313064,0.0028964743768796855,0.0028964724566621896,1.000000662950373
3,VFMADD_VV,524288,11313064,0.04634359003007497,0.046343559306595034,1.000000662950373
3,VADD_VI,524288,11313064,0.04634359003007497,0.046343559306595034,1.000000662950373
3,VADD12_VI,558112,11313064,0.04933340781949081,0.04933337511391137,1.000000662950373
3,ENDPRG,1,11313064,8.83933830834865e-08,8.839332448309905e-08,1.000000662950373
2,LW,135220,11313065,0.011952552204022518,0.011952545336604652,1.0000005745569394
