pc,count,inst_type_hint
0x800000bc,8,ADDI
0x800000c0,8,ADDI
0x800000c4,8,ADDI
0x800000d0,8,SW
0x800000d8,8,SW
0x800000e0,8,SW
0x800000e8,8,SW
0x800000f0,8,SW
0x800000f8,8,SW
0x80000100,8,SW
0x80000104,8,VMV_V_X
0x80000388,8,VMV_V_X
0x8000038c,8,VMV_V_X
0x80000390,8,AUIPC
0x800003c4,8,ADDI
0x800003c8,8,SW
0x800003d8,8,VID_V
0x800003dc,8,VADD_VX
0x800003e4,8,VREMU_VX
0x800003ec,8,ADDI
0x80000114,8,ADDI
0x80000118,8,VMV_V_X
0x800003f4,8,ADDI
0x800003f8,8,SW
0x80000408,8,VID_V
0x8000040c,8,VADD_VX
0x80000418,8,MUL
0x8000041c,8,VREMU_VX
0x80000420,8,VDIVU_VX
0x80000428,8,AUIPC
0x80000424,8,VMV_V_X
0x8000043c,8,JOIN
0x80000444,8,ADDI
0x80000140,8,BGE
0x80000148,8,VSLL_VI
0x8000014c,8,VADD_VV
0x80000150,8,VSLL_VI
0x80000154,8,ADDI
0x80000158,8,ADDI
0x8000015c,8,VADD_VX
0x80000160,8,VMV_V_X
0x80000164,8,ADDI
0x80000168,8,VADD_VX
0x8000016c,8,VMV_V_X
0x80000170,8,VSLL_VI
0x80000174,8,VADD_VV
0x80000178,8,VSLL_VI
0x8000017c,8,VADD_VV
0x80000180,8,VMV_V_X
0x800001a0,8,JOIN
0x800001a8,8,ADDI
0x800001ac,8,ADDI
0x800001b0,8,ADDI
0x800000a0,8,ENDPRG
